timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2026-05-09 07:07:55,0.00,11,100.00,9,unhealthy
2026-05-09 07:08:00,0.02,23.29,2.27,13,healthy
2026-05-09 07:08:06,100.49,686.2,67.01,45,healthy
2026-05-09 07:08:12,0.01,23.31,2.28,16,healthy
2026-05-09 07:08:17,0.06,23.39,2.28,19,healthy
2026-05-09 07:08:23,94.75,1015,99.12,406,healthy
2026-05-09 07:08:29,0.02,23.3,2.28,16,healthy
2026-05-09 07:08:35,0.02,23.39,2.28,38,healthy
2026-05-09 07:08:40,0.00,23.63,2.31,21,healthy
2026-05-09 07:08:46,3.27,33.4,3.26,37,healthy
2026-05-09 07:08:52,0.03,33.43,3.26,20,healthy
2026-05-09 07:08:58,100.20,1024,100.00,123,healthy
2026-05-09 07:09:04,0.02,23.3,2.28,17,healthy
2026-05-09 07:09:09,0.03,23.38,2.28,11,healthy
2026-05-09 07:09:15,70.28,1022,99.80,22,unhealthy
2026-05-09 07:09:21,0.03,23.31,2.28,15,healthy
2026-05-09 07:09:27,81.53,331,32.32,54,healthy
2026-05-09 07:09:32,0.00,23.45,2.29,10,healthy
2026-05-09 07:09:38,88.67,1024,100.00,12,healthy
2026-05-09 07:09:44,0.02,1021,99.71,19,healthy
2026-05-09 07:09:49,0.02,1022,99.80,10,healthy
2026-05-09 07:09:55,0.25,23.34,2.28,16,healthy
2026-05-09 07:10:01,0.02,25.34,2.47,45,healthy
2026-05-09 07:10:06,0.00,1.754,0.17,18,healthy
2026-05-09 07:10:12,5.13,25.33,2.47,11,healthy
2026-05-09 07:10:18,15.37,53.93,5.27,31,healthy
2026-05-09 07:10:23,0.00,11,100.00,20,healthy
2026-05-09 07:10:29,5.29,23.4,2.29,16,healthy
2026-05-09 07:10:35,100.67,651.2,63.59,30,healthy
2026-05-09 07:10:40,0.02,23.23,2.27,19,healthy
2026-05-09 07:10:46,0.02,23.38,2.28,16,healthy
2026-05-09 07:10:52,8.41,59.04,5.77,16,healthy
2026-05-09 07:10:58,86.19,345.3,33.72,11,healthy
2026-05-09 07:11:03,4.81,23.62,2.31,14,healthy
2026-05-09 07:11:09,90.03,420.9,41.10,44,healthy
2026-05-09 07:11:15,0.00,3,0.29,22,healthy
2026-05-09 07:11:20,4.96,33.73,3.29,16,healthy
2026-05-09 07:11:26,4.62,33.49,3.27,14,healthy
2026-05-09 07:11:32,89.59,1014,99.02,270,healthy
2026-05-09 07:11:38,0.02,23.31,2.28,16,healthy
2026-05-09 07:11:43,0.02,23.39,2.28,17,healthy
2026-05-09 07:11:49,98.82,1024,100.00,53,healthy
2026-05-09 07:11:55,0.04,23.44,2.29,29,healthy
2026-05-09 07:12:00,0.02,23.49,2.29,16,healthy
2026-05-09 07:12:06,100.34,877.4,85.68,93,healthy
2026-05-09 07:12:12,0.03,23.24,2.27,16,healthy
2026-05-09 07:12:17,0.03,23.31,2.28,14,healthy
2026-05-09 07:12:23,100.06,1024,100.00,84,healthy
2026-05-09 07:12:29,0.04,23.37,2.28,18,healthy
2026-05-09 07:12:35,0.29,23.44,2.29,18,healthy
2026-05-09 07:12:40,83.99,1024,100.00,51,healthy
2026-05-09 07:12:46,0.03,23.3,2.28,18,healthy
